2022/06/01,4,0,2,1,0,1,0,0,0,1,3,0,1,0,0,2,0,0,0,1
2022/06/02,2,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
2022/06/03,2,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0
2022/06/04,6,0,0,4,1,1,0,0,1,0,5,0,1,0,0,1,0,2,0,2
2022/06/05,5,0,0,0,1,4,0,0,0,2,3,0,5,0,0,0,0,0,0,0
2022/06/06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/06/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/06/08,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2022/06/09,5,0,0,2,0,3,0,0,0,2,3,0,2,0,0,2,0,0,1,0
2022/06/10,2,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,1
2022/06/11,4,0,0,0,1,3,0,0,1,0,3,0,3,1,0,0,0,0,0,0
2022/06/12,3,0,1,2,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,1
2022/06/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/06/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/06/15,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2022/06/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/06/17,3,0,1,0,2,0,0,0,0,2,1,0,1,0,0,1,0,0,0,1
2022/06/18,7,0,0,6,0,1,0,0,0,2,5,0,3,0,0,2,0,1,0,1
2022/06/19,7,0,0,2,2,3,0,0,0,3,4,0,1,0,0,0,2,1,0,3
2022/06/20,8,0,0,2,2,4,0,0,0,0,8,0,4,1,0,3,0,0,0,0
2022/06/21,2,0,0,1,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0
2022/06/22,6,0,0,2,1,3,0,0,0,0,6,0,3,0,0,1,0,0,1,1
2022/06/23,17,0,0,0,5,12,0,0,0,5,12,0,7,3,0,0,0,2,1,4
2022/06/24,26,0,0,2,10,14,0,0,2,9,15,0,11,2,1,2,2,1,5,2
2022/06/25,14,0,0,5,2,7,0,0,0,5,9,0,3,1,1,2,1,2,3,1
2022/06/26,12,0,0,2,3,7,0,0,0,5,7,0,4,0,0,1,3,2,0,2
2022/06/27,21,0,0,0,9,12,0,0,0,6,15,0,7,3,0,0,2,1,7,1
2022/06/28,18,0,0,3,9,6,0,0,0,5,13,0,5,1,0,2,3,2,3,2
2022/06/29,18,0,0,1,7,10,0,0,2,6,10,0,8,4,0,1,2,1,1,1
2022/06/30,29,0,1,4,11,13,0,0,1,11,17,0,8,3,0,1,4,6,5,2
